"
"
"Current date and time: 30 December 2022, 16:24:54"
CRYPTO,AMOUNT,PRICE,VALUE
Cardano,420.69,0.242639,102.07580091
Bitcoin,0.1,16472.35,1647.235
Dai,200.0,0.999121,199.82420000000002
Ethereum,0.333,1192.63,397.14579000000003
Nano,250.0,0.633428,158.357
TOTAL:,,,2504.64
"
"
"Current date and time: 30 December 2022, 16:30:14"
CRYPTO,AMOUNT,PRICE,VALUE
Bitcoin,0.1,16521.53,1652.153
Dai,200.0,0.997017,199.4034
Ethereum,0.333,1195.15,397.98495
Nano,250.0,0.635261,158.81525
TOTAL:,,,2408.36
"
"
"Current date and time: 30 December 2022, 16:31:34"
CRYPTO,AMOUNT,PRICE,VALUE
Bitcoin,0.1,16517.82,1651.7820000000002
Cardano,420.69,0.243293,102.35093217000001
Dai,200.0,1.0,200.0
Ethereum,0.333,1194.87,397.89171
Nano,250.0,0.634979,158.74474999999998
TOTAL:,,,2510.77
"
"
"Current date and time: 30 December 2022, 16:36:15"
CRYPTO,AMOUNT,PRICE,VALUE
Bitcoin,0.1,16523.12,1652.312
Cardano,420.69,0.243414,102.40183565999999
Dai,200.0,0.999846,199.9692
Ethereum,0.333,1194.63,397.81179000000003
Nano,250.0,0.635197,158.79925
TOTAL:,,,2511.29
"
"
"Current date and time: 30 December 2022, 17:18:16"
CRYPTO,AMOUNT,PRICE,VALUE
Bitcoin,0.1,16544.38,1654.438
Cardano,420.69,0.243945,102.62522204999999
Dai,200.0,0.999721,199.9442
Ethereum,0.333,1194.58,397.79514
Nano,250.0,0.634667,158.66675
TOTAL:,,,2513.47
