"
"
"Current date and time: 30 December 2022, 16:24:54"
STOCK,AMOUNT,PRICE,VALUE
AAPL,5.5,127.94,703.67
ARKK,30.03,30.64,920.1192000000001
TSLA,12.0,122.9,1474.8000000000002
PLTR,150.0,6.3,945.0
TOTAL:,,,4043.59
"
"
"Current date and time: 30 December 2022, 16:30:14"
STOCK,AMOUNT,PRICE,VALUE
ARKK,30.03,30.64,920.1192000000001
TSLA,12.0,122.9,1474.8000000000002
PLTR,150.0,6.3,945.0
TOTAL:,,,3339.92
"
"
"Current date and time: 30 December 2022, 16:31:34"
STOCK,AMOUNT,PRICE,VALUE
AAPL,5.5,127.94,703.67
ARKK,30.03,30.64,920.1192000000001
TSLA,12.0,122.9,1474.8000000000002
PLTR,150.0,6.3,945.0
TOTAL:,,,4043.59
"
"
"Current date and time: 30 December 2022, 16:36:15"
STOCK,AMOUNT,PRICE,VALUE
AAPL,5.5,128.35,705.925
ARKK,30.03,30.76,923.7228000000001
TSLA,12.0,122.82,1473.84
PLTR,150.0,6.34,951.0
TOTAL:,,,4054.49
"
"
"Current date and time: 30 December 2022, 17:18:16"
STOCK,AMOUNT,PRICE,VALUE
AAPL,5.5,128.83,708.565
ARKK,30.03,30.81,925.2243
TSLA,12.0,121.26,1455.1200000000001
PLTR,150.0,6.35,952.5
TOTAL:,,,4041.41
