"
"
"Current date and time: 30 December 2022, 16:24:54"
ASSET CLASS,VALUE
Crypto Holdings Total,2504.63779091
Stock Holdings Total,4043.5892000000003
TOTAL:,,,6548.23
"
"
"Current date and time: 30 December 2022, 16:30:14"
ASSET CLASS,VALUE
Crypto Holdings Total,2408.3566
Stock Holdings Total,3339.9192000000003
TOTAL:,,,5748.28
"
"
"Current date and time: 30 December 2022, 16:31:34"
ASSET CLASS,VALUE
Crypto Holdings Total,2510.76939217
Stock Holdings Total,4043.5892000000003
TOTAL:,,,6554.36
"
"
"Current date and time: 30 December 2022, 16:36:15"
ASSET CLASS,VALUE
Crypto Holdings Total,2511.29407566
Stock Holdings Total,4054.4878
TOTAL:,,,6565.78
"
"
"Current date and time: 30 December 2022, 17:18:16"
ASSET CLASS,VALUE
Crypto Holdings Total,2513.46931205
Stock Holdings Total,4041.4093000000003
TOTAL:,,,6554.88
